# Lattice_Constant(Angstrom)	Cohesive_Energy(eV)
3.00000	-8.29613184
3.01000	-8.36935006
3.02000	-8.43622538
3.03000	-8.49562016
3.04000	-8.54640918
3.05000	-8.58815319
3.06000	-8.62146438
3.07000	-8.64706416
3.08000	-8.66578305
3.09000	-8.67857810
3.10000	-8.68644307
3.11000	-8.69037729
3.12000	-8.69130123
3.13000	-8.68953157
3.14000	-8.68515299
3.15000	-8.67825437
3.16000	-8.66891732
3.17000	-8.65715645
3.18000	-8.64295117
3.19000	-8.62628073
3.20000	-8.60712451
3.21000	-8.58546200
3.22000	-8.56127271
3.23000	-8.53453566
3.24000	-8.50522575
3.25000	-8.47331608
3.26000	-8.43878052
3.27000	-8.40170305
3.28000	-8.36237466
3.29000	-8.32110881
3.30000	-8.27820034
3.31000	-8.23376862
3.32000	-8.18785007
3.33000	-8.14053473
3.34000	-8.09195348
3.35000	-8.04225907
3.36000	-7.99160451
3.37000	-7.94014244
3.38000	-7.88802513
3.39000	-7.83540440
3.40000	-7.78243166
3.41000	-7.72925783
3.42000	-7.67603333
3.43000	-7.62290804
3.44000	-7.57002700
3.45000	-7.51749064
3.46000	-7.46536964
3.47000	-7.41370734
3.48000	-7.36246461
3.49000	-7.31157454

# ===== 稳定点信息 =====
# 最小内聚能: -8.691301 eV
# 对应晶格常数: 3.120000 Å
