# "Timestep" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER" "DislocationAnalysis.length.1/2<111>" "DislocationAnalysis.length.<100>" "DislocationAnalysis.length.<110>" "DislocationAnalysis.length.other" "DislocationAnalysis.total_line_length" "DislocationAnalysis.cell_volume"
0 434772 0 0 0 0 75185 6315.240664182037 4292.369581318119 1937.9520998358419 3592.003886355584 16137.566231691582 7899150.086359117 
10000 434457 0 0 0 0 75500 4732.251189315487 2732.9563816911236 1266.523960918224 876.5638247025772 9608.295356627423 7929307.973351712 
20000 433460 0 0 0 0 76497 3963.6463266770897 2291.3591316632655 1104.6502057223013 770.080218163537 8129.735882226189 7959954.537189983 
30000 432093 0 0 0 0 77864 3676.511814390994 2224.7974272323336 1089.4269962506576 869.4670869802912 7860.203324854272 7988631.424294673 
40000 430451 0 0 0 0 79506 3101.2947029751163 2110.6146479633258 1050.0977578036227 708.7687621740918 6970.77587091616 8015380.252168966 
50000 428093 0 0 0 0 81864 2817.238276897086 1847.9447717793946 843.5972183575259 715.8030258635183 6224.58329289753 8040423.202046019 
60000 425088 0 0 0 0 84869 4241.496300677278 2245.555412077033 1369.3189361164202 2813.518253547955 10669.888902418703 8105764.817685539 
70000 428125 0 0 0 0 81832 4413.174213173757 2693.762966274575 1278.6900537360723 3377.4718021949475 11763.09903537935 8271664.577994164 
80000 429384 0 0 0 0 80573 3357.0045143803272 1876.9411945241077 714.6918746351153 833.0304654907408 6781.668049030293 8410849.114866238 
90000 430059 0 0 0 0 79898 4788.882515779175 2751.2354362643387 1116.7383982422555 2348.2956895538305 11005.15203983962 8526279.365606144 
100000 430432 0 0 0 0 79525 5109.205709352511 2907.846663095059 1208.6225639228498 2388.762111183684 11614.437047554096 8609401.003507689 
110000 430491 0 0 0 0 79466 4828.7385654910495 2784.920668235914 1018.2697325254076 2413.0961711175573 11045.025137369914 8686168.360002358 
120000 430672 0 0 0 0 79285 5955.178946279766 3191.1918847948523 1203.384139736659 3058.8974962721504 13408.652467083446 8766989.475426424 
130000 430678 0 0 0 0 79279 6554.502480170605 3892.842932447827 1678.3689209854656 5149.373641820869 17275.087975424805 8845432.695373874 
140000 430656 0 0 0 0 79301 4910.218897475484 2490.499573621537 1120.6393460613558 2544.0477120932987 11065.405529251688 8924056.056893658 
150000 430734 0 0 0 0 79223 5165.870133903874 2655.1833138795328 1127.7039271050317 2179.7500257243855 11128.507400612814 9003545.24785724 
